index_mol,type,File Name,smiles,homo,lumo,En,Ea,EA,stable,same_sml,G1aACN,G2aACN,G1aH2O,G2aH2O,G1aDMF,G2aDMF,G1aDMSO,G2aDMSO,G1aTHF,G2aTHF,G1nACN,G2nACN,G1nH2O,G2nH2O,G1nDMF,G2nDMF,G1nDMSO,G2nDMSO,G1nTHF,G2nTHF,RP_ACN,RP_H2O,RP_DMSO,RP_DMF,RP_THF,imaginary_a,stable_a,imaginary_n,stable_n,adj
14619,OMEAD,14619.xyz,O=c1nc[nH]c2c(Br)[nH]c3c(=O)cnc=3c-2n1,-0.298511,-0.116857,-90983.7741064823,-90986.75910027366,-2.7509937913531903,stable,yes,-2.616652614339291,-0.1556284324020249,-3.136459426325027,0.0002372832632562,-2.5572841786042777,-0.1991837890150807,-2.57605186973591,-0.1464141137547967,-2.205232552033198,-0.232598007262272,-1.1677414159669994,-0.1570012466946026,-1.4659085168998585,0.0299719782469716,-1.1224205847988902,-0.2013057326926864,-1.1327151953671362,-0.1480707427762462,-0.9346380933149718,-0.2353553367422899,4.666532175432904,4.919279395762074,4.660673836700515,4.651735441480971,4.486830920591398,False,True,False,True,stable
14621,OMEAD,14621.xyz,O=c1nc2oc(Br)c3[nH]cnc(=O)nc-3c-2n1,-0.317318,-0.131912,-91961.88550973556,-91965.20922674578,-3.089717010222026,stable,yes,-2.687079484174615,-0.1668708154541256,-3.1780522979672066,-0.0590737364527811,-2.624347177223577,-0.2364878745194372,-2.643726852367896,-0.1905188681987175,-2.2603413178106275,-0.2593108781193124,-1.0607476170036507,-0.1654814022176734,-1.3327901571885978,-0.028601885092734,-1.0115268503665182,-0.2357738478189964,-1.0204198025757811,-0.1896910979156608,-0.8476465659481565,-0.2587905964686864,5.185438290629443,5.433451002360682,5.181851830297198,5.171251363779526,4.970932043735123,False,True,False,True,stable
14622,OMEAD,14622.xyz,O=c1nc2c(nc[nH]1)c(Br)c(=O)c1cnnn12,-0.318408,-0.11365,-91421.04936922218,-91424.02268633682,-2.739317114636302,stable,yes,-2.323237709403573,-0.1738698553786829,-2.7361995686931637,0.0819808232273652,-2.278257020527976,-0.2266212990120883,-2.2937734955708633,-0.1742959856427417,-1.983432838045923,-0.2596942865114318,-1.0043346096198142,-0.1812152962139342,-1.227548227088602,0.1086830816448793,-0.9748505314772212,-0.2361743993826583,-0.9830487770682584,-0.1833979212765241,-0.8228940031513201,-0.2694947383571164,4.51887477358481,4.742670714658378,4.508939897505124,4.501170503316487,4.35805549768522,False,True,False,True,stable
14624,OMEAD,14624.xyz,N=c1snc2c(c1Br)N=C(NC=O)N(C=O)C2,-0.28847,-0.074932,-100816.21034745696,-100817.99222585028,-1.5478783933180384,stable,yes,-2.175543572173596,-0.1687919391222324,-2.481196524680055,0.1765221489187731,-2.1447155238048303,-0.2171277915711663,-2.159237150670579,-0.1591806063911844,-1.8685197101713975,-0.2541733689332139,-0.8687119862941646,-0.1743776197929445,-1.1187168434041874,0.1882439965463985,-0.8358556014066926,-0.223388042436388,-0.8430132836964774,-0.1656792289749982,-0.7038259691453038,-0.2603386520703661,3.3171242985267577,3.3900799222215316,3.3256036377083262,3.3184780648509546,3.17440685120698,False,True,False,True,stable
14625,OMEAD,14625.xyz,O=CC1=Nc2[nH]cnc(=O)nccc(c2Br)O1,-0.281274,-0.113895,-91553.79711887128,-91557.0813094423,-3.0501905710229185,stable,yes,-2.111315999704676,-0.1340745677239698,-2.542967453455538,0.0579961656701036,-2.056965343068797,-0.1902010392405945,-2.069857280182663,-0.1408170043030562,-1.808536841399191,-0.2185068644819263,-0.9977978910992388,-0.1580592252812314,-1.2893586123700165,0.0961323752788611,-0.952708900917706,-0.2172439841782884,-0.9603120335537642,-0.1666414234920557,-0.8105620763078455,-0.2461745827825059,4.6077240220710936,4.809935621717198,4.601911398462818,4.595404068236316,4.488497617813684,False,True,False,True,stable
14626,OMEAD,14626.xyz,N=c1oc(Br)c2[nH]cnc(=O)[nH]ccc2c1Br,-0.293193,-0.056371,-159573.56667521677,-159574.94127076652,-1.1405955497433897,stable,yes,-2.2375327362439545,-0.1542058212778235,-2.545180555267537,0.0925208804738876,-2.19925285053084,-0.1779504744334887,-2.2140550267594525,-0.1192800106827096,-1.917396252808508,-0.2183580182147231,-0.9055104842949314,-0.1554790419071537,-1.1378396430892022,0.1135400414681141,-0.8747814853617456,-0.179539891337938,-0.8821571308325717,-0.1208525565294502,-0.7382459201229942,-0.2198277050322082,2.9393445810630827,3.036955622915951,2.93892089982353,2.9314774980080345,2.7862761956114186,False,True,False,True,stable
14627,OMEAD,14627.xyz,O=Cc1cnc(=O)nc[nH]c2c(Br)cn[nH]c1-2,-0.285772,-0.071251,-91015.59656084325,-91017.61824717197,-1.7876863287205342,stable,yes,-2.508770635821735,-0.1295384301110322,-3.053559130452544,0.1239127487067206,-2.443791484943281,-0.1708072141769065,-2.460679413709576,-0.1159915149987053,-2.1232656066113673,-0.2071735954092664,-0.814056562164195,-0.133476733630651,-1.3523736455945905,0.1077293226566761,-0.9618804976929946,-0.1714806959160799,-0.9702428279259394,-0.1169874516311799,-0.8078248832515444,-0.2083556579042035,3.946462098858456,3.940688387528444,3.7451269778716965,3.7369238342316473,3.56994498958542,False,True,False,True,stable
14628,OMEAD,14628.xyz,N=c1oc(Br)c2n(c1=O)CCNC(=O)NC=N2,-0.27991,-0.038736,-92059.43000642244,-92060.64502979396,-0.9810233715365175,stable,yes,-2.211814441450219,-0.1424766265766798,-2.238933850375269,0.1489700789976475,-2.1608456155434093,-0.2026698393425759,-2.1747446459569444,-0.1522795274468705,-1.894232290574619,-0.229805575097667,-0.9788418971944722,-0.1390156107219135,-1.3239793833572056,0.1490908975399477,-0.9333999753702288,-0.1992618856854414,-0.9407761650687232,-0.1494351215399696,-0.7955549983622239,-0.2258321688934609,2.6854569316470305,2.3640986570968816,2.68583625833164,2.679876965366833,2.551674069953119,False,True,False,True,stable
14629,OMEAD,14629.xyz,N#CC1NC(=O)N(C=N)c2c1coc(=O)c2Br,-0.317339,-0.069243,-91558.6406422576,-91560.28946868698,-1.4148264293730026,stable,yes,-2.249743844545129,-0.0700173385151394,-2.7303137464635396,0.2732986176427346,-2.1932404953684013,-0.1235549190149982,-2.207962670129815,-0.0724462265975079,-1.9127545350279749,-0.1557919728162646,-1.0652236174592724,-0.0694094362099623,-1.3394006185581897,0.2951420114401758,-1.0288564198854104,-0.1230354537058741,-1.0380029821879704,-0.0720432260093398,-0.8608761963300281,-0.1554096528794813,3.0679545587640358,3.2955829510757937,3.053189117903015,3.0477299701651175,2.9350870880077324,False,True,False,True,stable
14630,OMEAD,14630.xyz,N=C1C=NC(=O)C(=N)NC2=C(Br)OC(=CS2)O1,-0.298834,-0.066052,-101352.5612854412,-101354.58150670904,-1.7862212678414071,stable,yes,-2.647114125373646,-0.0044694697236053,-2.910569297184922,0.1203983985404885,-2.606603450449322,-0.0272666225092496,-2.6253395763762093,0.0216112806970311,-2.2533387404062277,-0.0601945733350661,-0.9018900097334356,0.0052994169173341,-1.0550405735629704,0.1215380112773201,-0.8755401387309638,-0.0164258794761468,-0.8829345600563367,0.0312136336715568,-0.7384641554178697,-0.0479505392599765,4.009214270122557,4.110889604200191,4.006228637135806,3.996125322592868,3.781339886904855,False,True,False,True,stable
14631,OMEAD,14631.xyz,N=c1[nH]c2sc([nH]c(=O)cnc1=O)=CNC=2Br,-0.288191,-0.056437,-100814.28089873825,-100816.15423105366,-1.6393323154301616,stable,yes,-2.3725937166162088,-0.0627015580877952,-2.857723974278783,0.073716453974664,-2.3124108441760054,-0.0928882341498003,-2.3274424123666875,-0.0443072071364239,-2.0244044738050593,-0.12354893251065,-0.4727926164285861,-0.071242939223518,-0.5256529055955953,0.1011743725092223,-0.6624175906825827,-0.0981590791145635,-0.667290877335858,-0.0487508260457983,-0.5703519566529929,-0.1305931433316528,3.998592034482061,4.466861302647907,3.7630402315516167,3.752054723958821,3.554340621761225,False,True,False,True,stable
