index_mol,type,File Name,smiles,homo,lumo,En,Ea,EA,stable,same_sml,G1aACN,G2aACN,G1aH2O,G2aH2O,G1aDMF,G2aDMF,G1aDMSO,G2aDMSO,G1aTHF,G2aTHF,G1nACN,G2nACN,G1nH2O,G2nH2O,G1nDMF,G2nDMF,G1nDMSO,G2nDMSO,G1nTHF,G2nTHF,RP_ACN,RP_H2O,RP_DMSO,RP_DMF,RP_THF,imaginary_a,stable_a,imaginary_n,stable_n,adj
8104,OMEAD,8104.xyz,C#CCCCc1cc(=N)c2c(Br)snnc-2n1,-0.286831,-0.085775,-98386.7311083966,-98388.9027123047,-2.1716039080929477,stable,yes,-2.260681187989305,-0.0474142028931439,-2.3024767844378218,0.0586051564306168,-2.2638306335041305,0.0135349421036304,-2.2789043793390844,0.0918386910920259,-1.9761031798130444,-0.0610925489872972,-0.5922595693152602,-0.0556935384067156,-0.6048712291800966,0.0663832582619431,-0.5932084302544514,0.0028196435480059,-0.5977519149409072,0.0802265053395063,-0.5078795184134336,-0.0704742176424413,3.831746191253421,3.876987565181999,3.841144186738606,3.8315108127870023,3.630445900837415,False,True,False,True,stable
8105,OMEAD,8105.xyz,N=c1c2nsc(Br)c1CNCCC#CC=C2,-0.269063,-0.0373,-96913.84607144096,-96914.76994716004,-0.9238757190760224,stable,yes,-2.8268703472096215,-0.1194310338605848,-2.887765613667262,0.0544995029030821,-2.831441315393312,-0.0674619174999566,-2.853366887568624,0.0037848313172375,-2.423074370304805,-0.132841892055907,-0.5960531082751861,-0.1180946828217644,-0.610349697000209,0.052943556000216,-0.5971162570246611,-0.0661250222334682,-0.602263562308784,0.0048471637252104,-0.5023071713205879,-0.1311991408399919,3.156029309049279,3.1997356888402093,3.1760413767438354,3.159537672711162,2.846285669276155,False,True,False,True,stable
8106,OMEAD,8106.xyz,C#CCC1(C#N)CNCc2c1cc(=O)oc2Br,-0.301858,-0.05701,-89704.61449993397,-89705.88129867682,-1.2667987428430934,stable,yes,-2.4904366941415144,-0.0103370603263512,-2.944711419938089,0.2245273830593855,-2.438459958593534,-0.0022473881550841,-2.4551715575953907,0.062349987014255,-2.1208203916989583,-0.0564369534012295,-0.8603096553276205,-0.0125275766901274,-1.0427842943653505,0.2409649634303948,-0.8397952654954814,-0.0056354775023358,-0.8464092643449154,0.058639442773702,-0.7160218390717737,-0.0594941523263257,2.8947352652932112,3.185163448786841,2.871850491853016,2.862075346593894,2.6685400965451818,False,True,False,True,stable
8107,OMEAD,8107.xyz,C#CCNc1cc(C#N)c2sc(=N)[nH]c(Br)c1-2,-0.2521,-0.066937,-98356.12429428929,-98357.90662548,-1.782331190741388,stable,yes,-2.155418033010257,-0.0406472760689967,-2.194287045174002,0.2355662249636472,-2.1583467942057006,0.0241530960205134,-2.1723701806413778,0.1080827985270544,-1.8894926118138424,-0.0600302165793243,-0.7781636590030114,-0.0344849861840185,-0.7948934896317469,0.236654408185851,-0.7794202806884671,0.0295812227813341,-0.7854473299979426,0.1114774186063224,-0.6664135823350116,-0.0527220553393323,3.165747854633612,3.182812929505847,3.1726486614640916,3.1666858310194423,3.0127183814602105,False,True,False,True,stable
8108,OMEAD,8108.xyz,C#CCC(C#N)CN1Cc2nccc(Br)c2C1,-0.305305,-0.022632,-88185.43547219413,-88186.15196315745,-0.716490963313845,stable,yes,-2.4333676203038808,-0.0734914158339382,-2.479111316370041,0.1788666817125986,-2.4368117651009387,-0.002216095064173,-2.453308666287762,0.0854018383485321,-2.122374978032654,-0.0879158980609455,-0.8435866275447352,-0.0663721015947488,-0.8627301078811346,0.1729857575319862,-0.8450255654989773,0.0027521593171716,-0.8519176646867688,0.0875335781241622,-0.7167336888615424,-0.0800762985031331,2.31339127031218,2.326991247622139,2.3200137046904685,2.3132454172971513,2.129971852042769,False,True,False,True,stable
8109,OMEAD,8109.xyz,C#CCC1(C#N)CNCc2c(Br)c(=O)ncn21,-0.301024,-0.020368,-89600.3829742148,-89600.80360723517,-0.4206330203742254,stable,yes,-3.0304057806581817,-0.0440416240344306,-3.5199167989344744,0.1459292069025918,-2.9742452949123055,-0.0231495402006865,-2.996326516200671,0.044455237062125,-2.5595625877364387,-0.0824741656084244,-1.2922645160034034,-0.0480686366639366,-1.5383993701661438,0.1523481001330409,-1.264948640890198,-0.0285869188318635,-1.2758574123818032,0.0386907776024687,-1.0635658999824869,-0.0872698998190071,2.1547472723994976,2.4085693423730055,2.135337664733437,2.124492295765156,1.911833973917595,False,True,False,True,stable
8110,OMEAD,8110.xyz,O=S1(=O)C=C2CC=CCCNCC(=C1Br)O2,-0.303736,-0.009597,-99071.2521839051,-99071.50198903066,-0.2498051255533937,stable,yes,-2.5226772854226227,-0.1395143953796529,-3.0076249547025773,0.1112085701383211,-2.4461011871663536,-0.1785355191766091,-2.463378510829116,-0.125737816191422,-2.119493292530494,-0.2080198694330358,-0.6945583161866097,-0.1427571759395436,-0.929432555670371,0.1320437821807572,-0.6604390509954999,-0.1800272472146489,-0.665649758802947,-0.1256515561060411,-0.5629477392295955,-0.2113889108119069,2.0746813142295157,2.3488327366280366,2.0476201376649437,2.0339755336862075,1.802981637475421,False,True,False,True,stable
8111,OMEAD,8111.xyz,C#CCN1Cc2c(nc(=N)oc2Br)C1CC=O,-0.298751,-0.049091,-90172.88723863964,-90174.09998523476,-1.2127465951052727,stable,yes,-2.3950003860500493,-0.0630642858285298,-2.615614772176379,0.0622191002600964,-2.36831336600724,-0.0560638853348025,-2.3841354248857196,0.0094872488227397,-2.0665973564512297,-0.1088708401903458,-0.8380711522431976,-0.070954498559468,-1.0073961623662546,0.0747374250798675,-0.8156462511824782,-0.0658270575852278,-0.8222248752334909,-0.0010751217581713,-0.6932905378339597,-0.1173616081529429,2.7617856161811862,2.8334835297351684,2.7640947741765904,2.755650537679609,2.5775626457599454,False,True,False,True,stable
8112,OMEAD,8112.xyz,N=c1cnc(Br)c2n1C(=O)CCCCCNC2,-0.284956,-0.052403,-89697.71339486673,-89699.06932395168,-1.35592908495164,stable,yes,-2.3366287032890125,-0.1245622844285012,-2.5679793407361857,-0.0185938103917002,-2.3190740956293947,-0.1140464453132057,-2.3355222884399303,-0.0520934723827705,-2.008941605187472,-0.1608998215944561,-0.600307880183758,-0.1323074604859124,-0.6908651872314334,-0.0037108163543869,-0.590381167519093,-0.1231570885896763,-0.5949954018023913,-0.061659089989705,-0.5041267965286091,-0.1694382094780049,3.084504731999483,3.2479262324937053,3.0868903539822443,3.0755113697854712,2.852205505726954,False,True,False,True,stable
8113,OMEAD,8113.xyz,C#CCN1Cc2c(ccnc2Br)C(NC=N)C1,-0.303962,-0.018198,-88654.622381679,-88654.92041816527,-0.2980364862742135,stable,yes,-2.618862178671448,-0.0986388158039222,-2.6691621487742623,0.0364001233477771,-2.6226478263301876,-0.0350692145856368,-2.640784213366918,0.047045488648061,-2.2780129344188698,-0.1129868340435729,-0.9305912163755832,-0.1025001111085164,-0.9515369066346272,0.0609679208513209,-0.932174918889518,-0.0409566694982654,-0.9397124720915804,0.0407574821717705,-0.7918308484299705,-0.1184247569024179,1.982446153265484,2.0402295259173924,1.9928202210732604,1.9826219388022543,1.7787806494042675,False,True,False,True,stable
8115,OMEAD,8115.xyz,C#CCCN=c1c2c(Br)[nH]cnc-2noc1=N,-0.280248,-0.063289,-90035.22460184645,-90036.71949756164,-1.4948957151937066,stable,yes,-2.7569409014628667,-0.0887874786712778,-2.90331066066272,0.0805114085237142,-2.740604819551943,-0.047416924031484,-2.760447360327913,0.0298266694596106,-2.3666382332450775,-0.1205722792804205,-1.283133464189382,-0.0889632642080479,-1.3818906495110983,0.0889110183519181,-1.2699939034865673,-0.0479040077943609,-1.2813992827252396,0.0287814802231803,-1.0608504760329065,-0.1205186728551206,2.968527366930421,3.0247153361735317,2.9728986035599494,2.965019547496205,2.800737078831178,False,True,False,True,stable
8116,OMEAD,8116.xyz,C#CCN1CC(=O)c2c(C#N)cnc(Br)c2C1,-0.324004,-0.079485,-89131.2814788134,-89133.17493911702,-1.8934603036177575,stable,yes,-2.3968662706098525,-0.0525130719148131,-2.7572263488747426,0.1127843813510698,-2.3616326992684735,-0.0154095343061215,-2.377837622311405,0.0573588750708535,-2.0537293653547564,-0.0827416535072557,-0.8630740597673225,-0.054841549992432,-0.9846422756802176,0.1299117702912931,-0.8486961090059308,-0.0179567919062841,-0.8558771930854404,0.0548584210501406,-0.7158346247539752,-0.0854674177825284,3.4249240363826687,3.683171765752506,3.4129202788230097,3.403849636280138,3.2286292799432665,False,True,False,True,stable
8117,OMEAD,8117.xyz,C#CCC1(C=O)COc2ccnc(Br)c2CN1,-0.312206,-0.017394,-89736.67162553746,-89736.8508250144,-0.1791994769300799,stable,yes,-2.3368594558202527,-0.072048396172186,-2.54934716229389,0.1510452190958036,-2.3157058705920255,-0.0583417502392957,-2.331395137919509,0.0100238573034063,-2.0168007969413333,-0.1159871611773612,-0.5312179056149227,-0.0774806046405168,-0.6687513122829868,0.1570262811673315,-0.5112240695472439,-0.0645894838681528,-0.5150932561530244,0.0035138059385641,-0.4385321241576254,-0.12188005836667,1.979408818667079,2.065776389012511,1.9889913073317225,1.9774335443460045,1.7515752525244792,False,True,False,True,stable
8119,OMEAD,8119.xyz,C#CCN1CC(=O)Nc2csc(=N)c(Br)c2C1,-0.269847,-0.049851,-98961.66472485794,-98962.88002687405,-1.215302016105852,stable,yes,-2.3675917201194467,-0.0669334724343103,-2.6057487408966984,0.1378629365210495,-2.3481878268439003,-0.0417705619757877,-2.3638741009192095,0.0286745394864146,-2.0488136289433756,-0.1029161731607169,-0.7970328485947293,-0.0740971412284432,-1.000126641290692,0.1716662775508743,-0.7753255117142929,-0.0513244786878598,-0.7812801787439219,0.0197287971933536,-0.6636929882225849,-0.1126039698791216,2.7786972188364367,2.8547274567416836,2.7889501959880785,2.778610414523387,2.590734860108238,False,True,False,True,stable
8120,OMEAD,8120.xyz,C#CCN1CC(=O)Nc2nc(=O)[nH]c(Br)c2C1,-0.308596,-0.043115,-90611.9501695389,-90613.44781850188,-1.4976489629625576,stable,yes,-2.259779674857232,-0.1730627657470108,-2.707685848482649,0.1478816236616097,-2.209382560115676,-0.2059450014487137,-2.223385810127637,-0.1417187895489635,-1.939826324032074,-0.251213586760693,-0.9025746481398034,-0.1641058667867556,-1.275396723660825,0.1308641687103262,-0.855405619811102,-0.197090961517714,-0.8617434231190163,-0.1354830289288027,-0.7358287329354881,-0.2401546084327147,2.863810888640242,2.912920632833098,2.865527110591339,2.860479943198132,2.7127055323871216,False,True,False,True,stable
8122,OMEAD,8122.xyz,C#CC1CNCc2c(Br)oc(=N)c3nnn1c23,-0.279901,-0.017736,-90036.04805286664,-90036.91359336619,-0.865540499551571,stable,yes,-2.6105891017760583,0.0463273802401101,-2.7228586437531823,0.0639889286364939,-2.6008994002608152,0.0960657073895288,-2.618772653220059,0.1643842392389472,-2.26116881597985,0.0313126831071362,-0.8645761281310549,0.045664238826629,-0.9101758759790236,0.0692774610004677,-0.8589814677038204,0.0948082693625711,-0.8659527520173086,0.1610663552608699,-0.7292324214852649,0.0318098350818715,2.610890331783093,2.683511799689703,2.615042516776244,2.606200994081608,2.397974046020891,False,True,False,True,stable
8123,OMEAD,8123.xyz,O=CC1CCNCc2sc(=O)nc(c2Br)NC1,-0.301038,-0.053468,-100005.04049945858,-100006.65392850408,-1.6134290455083828,stable,yes,-2.112989771897668,-0.1473104567240238,-2.570505101343461,0.0529098138847989,-2.0579574701075956,-0.1888293134033528,-2.0713147218776173,-0.1365921649162253,-1.802134002884948,-0.2167253352106664,-0.6389341668075664,-0.1339379665792971,-0.8940343554594167,0.0477761142923764,-0.6078516920040021,-0.1690564337688896,-0.6127527342683465,-0.1163528821702699,-0.5166247128108296,-0.1988368438767186,3.1008571407432113,3.284766091800005,3.0922303158636093,3.0833077032464393,2.9168268269164495,False,True,False,True,stable
8124,OMEAD,8124.xyz,C#CCN=C1C(=N)c2cnn3ccc(Br)c1c23,-0.277099,-0.060221,-88556.32612916436,-88557.71844694388,-1.3923177795222728,stable,yes,-2.4015577852220096,-0.0533506382958942,-2.448626675659795,0.0400165162017627,-2.4050958092918004,0.0200286666384321,-2.422055848224108,0.100099522864885,-2.08559362320343,-0.0622833191249226,-0.6843842520468301,-0.0555939447434681,-0.69905390883828,0.060222873173803,-0.6854865851884024,0.016632141762326,-0.6907713079587001,0.0964333331792755,-0.5864034074935427,-0.0652945308120713,3.107248006249878,3.1620969033158284,3.1199361301020714,3.108530478749565,2.8884967835450115,False,True,False,True,stable
8125,OMEAD,8125.xyz,C#CC1(CC#N)CNCc2c1nsc(=N)c2Br,-0.29328,-0.067706,-98388.06158531408,-98389.67026896644,-1.6086836523609236,stable,yes,-2.128676862314479,0.021608559558691,-2.16735757170509,0.0911945976469255,-2.1315906572490526,0.0879376671676663,-2.145544382543223,0.1615830994316539,-1.8645003167292435,0.0166977211963223,-0.829678617374678,0.0170253462524697,-0.8479543266944211,0.1102455592797616,-0.8310549691470978,0.0819590541206445,-0.8376354979949485,0.15542924507553,-0.7081074082096086,0.0110709513366747,2.903098683994503,2.9471378590044286,2.9104386825530746,2.9032407274158567,2.759449791020911,False,True,False,True,stable
