history_data,total,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential)),1-(SigmLin(redox_potential_-1)),SigmLin(redox_potential_-1),redox_potential_-1,SigmLin(redox_potential),redox_potential,smiles
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-3|MoveFG-117_Sub-35,0.5,0.5,0.0,1.0,1.0792477130889893,1.0,1.0792477130889893,CC(C)(F)F
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-34,0.5,0.5,0.0,1.0,0.8598952889442444,1.0,0.8598952889442444,COC(C)C
C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|ChB-703|AddA-21_AddA-23,0.5,0.5,0.0,1.0,2.031130790710449,1.0,2.031130790710449,FC1SC1(S)Br
C|AddA-15|Sub-8|ChB-1406|AddA-12|ChB-740|Sub-12|AddA-24_AddA-38,0.5,0.5,0.0,1.0,1.4981645345687866,1.0,1.4981645345687866,ClCP1C=P1
C|AddA-15|AddA-12|Sub-16_AddA-29|Sub-9_AddA-38|ChB-1408,0.5,0.5,0.0,1.0,1.5748144388198853,1.0,1.5748144388198853,NC1=S(Cl)C1
C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-9_ChB-1406|Sub-18,0.5,0.5,0.0,1.0,1.7113895416259766,1.0,1.7113895416259766,N=NO
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-3|AddA-37_Sub-47,0.5,0.5,0.0,1.0,1.3009424209594727,1.0,1.3009424209594727,CC(C)(Br)CF
C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|ChB-703|Sub-17_Sub-25,0.5,0.5,0.0,1.0,2.2374391555786133,1.0,2.2374391555786133,NN1CS1
C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-9_ChB-1406|RmA-2_AddA-20,0.5,0.5,0.0,1.0,1.1762604713439941,1.0,1.1762604713439941,N=NP
C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|AddA-29|InsA-75_InsA-39,0.5,0.5,0.0,1.0,1.0634208917617798,1.0,1.0634208917617798,PCCOC(Cl)CS
C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|AddA-12_CutA-0|MoveFG-2_InsA-37,0.5,0.5,0.0,1.0,0.9791029095649719,1.0,0.9791029095649719,C=PCP
C|AddA-15|AddA-12|Sub-16_AddA-29|ChB-705|AddA-9_Sub-35,0.5,0.5,0.0,1.0,1.8957935571670532,1.0,1.8957935571670532,FC1(Br)CS1
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-3|AddA-47,0.5,0.5,0.0,1.0,1.407312035560608,1.0,1.407312035560608,CC(C)C(F)Br
C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|ChB-703|Sub-25_Sub-20,0.5,0.5,0.0,1.0,1.2212711572647095,1.0,1.2212711572647095,NP1CS1
C|AddA-15|Sub-8|ChB-1406|AddA-12|ChB-740|Sub-12|InsA-0_Sub-21,0.5,0.5,0.0,1.0,1.2340059280395508,1.0,1.2340059280395508,C1CSP1
C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|Sub-1_InsA-1,0.5,0.5,0.0,1.0,1.040268063545227,1.0,1.040268063545227,C=PCN
C|AddA-15|AddA-12|Sub-16_AddA-29|Sub-9_AddA-38|CutA-2_AddA-27,0.5,0.5,0.0,1.0,1.240686297416687,1.0,1.240686297416687,NC[SH](F)Cl
C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-9_ChB-1406|AddA-18_AddA-31,0.5,0.5,0.0,1.0,2.1995389461517334,1.0,2.1995389461517334,ON=NNBr
C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|AddA-29|RmA-1_ChB-741,0.5,0.5,0.0,1.0,1.5913892984390259,1.0,1.5913892984390259,SC1(Cl)CO1
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-3|Sub-2_ChB-1479,0.5,0.5,0.0,1.0,1.0375889539718628,1.0,1.0375889539718628,C=C(C)CO
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|InsA-3_InsA-73,0.5,0.5,0.0,1.0,0.8513079881668091,1.0,0.8513079881668091,CCCC(C)CC
C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|ChB-703|InsA-37_MoveFG-2778,0.5,0.5,0.0,1.0,1.177856206893921,1.0,1.177856206893921,FC1CSC1
C|AddA-15|Sub-8|ChB-1406|AddA-12|ChB-740|Sub-12|ChB-37_InsA-1,0.5,0.5,0.0,1.0,0.9453116655349731,1.0,0.9453116655349731,P=CCP
C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|AddA-13_Sub-2,0.5,0.5,0.0,1.0,1.5096430778503418,1.0,1.5096430778503418,C=POS
C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-9_ChB-1406|RmA-1_AddA-18,0.5,0.5,0.0,1.0,1.7139683961868286,1.0,1.7139683961868286,NNO
C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|AddA-29|MoveFG-2851_Sub-0,0.5,0.5,0.0,1.0,1.0291856527328491,1.0,1.0291856527328491,SPCCCCl
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|MoveFG-117_ChB-2109,0.5,0.5,0.0,1.0,1.6190317869186401,1.0,1.6190317869186401,CC1(C)C#C1
C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|ChB-703|AddA-27,0.5,0.5,0.0,1.0,1.671697735786438,1.0,1.671697735786438,FC1(F)CS1
C|AddA-15|Sub-8|ChB-1406|AddA-12|ChB-740|Sub-12|AddA-30,0.5,0.5,0.0,1.0,1.6791613101959229,1.0,1.6791613101959229,ClP1C=P1
C|AddA-15|AddA-12|Sub-16_AddA-29|Sub-9_AddA-38|AddA-17,0.5,0.5,0.0,1.0,1.6497886180877686,1.0,1.6497886180877686,NNCCSCl
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-3|ChB-1480,0.5,0.5,0.0,1.0,1.1933317184448242,1.0,1.1933317184448242,CC1C=C1F
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|AddA-15_Sub-46,0.5,0.5,0.0,1.0,1.044443130493164,1.0,1.044443130493164,CC(C)CCCl
C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|ChB-703|InsA-1_Sub-25,0.5,0.5,0.0,1.0,1.2703806161880493,1.0,1.2703806161880493,NC1CSC1
C|AddA-15|Sub-8|ChB-1406|AddA-12|ChB-740|Sub-12|InsA-0_AddA-23,0.5,0.5,0.0,1.0,1.2803428173065186,1.0,1.2803428173065186,BrP1CCP1
C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|AddA-19,0.5,0.5,0.0,1.0,1.2560547590255737,1.0,1.2560547590255737,CP=CF
C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|AddA-29|AddA-54_CutA-4,0.5,0.5,0.0,1.0,1.6412547826766968,1.0,1.6412547826766968,POC(Cl)SCl
C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|AddA-12_CutA-0|AddA-30_ChB-704,0.5,0.5,0.0,1.0,1.6791613101959229,1.0,1.6791613101959229,ClP1C=P1
C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|ChB-703|AddA-24,0.5,0.5,0.0,1.0,1.1365065574645996,1.0,1.1365065574645996,CC1(F)CS1
C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|AddA-23,0.5,0.5,0.0,1.0,1.5824729204177856,1.0,1.5824729204177856,CP=CBr
C|AddA-15|AddA-12|Sub-16_AddA-29|Sub-9_AddA-38|AddA-9_MoveFG-3,0.5,0.5,0.0,1.0,1.0098217725753784,1.0,1.0098217725753784,NCC[SH](N)Cl
C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-9_ChB-1406|CutA-0_AddA-12,0.5,0.5,0.0,1.0,0.8298250436782837,1.0,0.8298250436782837,NNP
C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|AddA-29|ChB-1446_ChB-39,0.5,0.5,0.0,1.0,1.2858970165252686,1.0,1.2858970165252686,COC(Cl)[SH]=P
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-3|ChB-777,0.5,0.5,0.0,1.0,1.0357108116149902,1.0,1.0357108116149902,CC1CC1F
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|ChB-703,0.5,0.5,0.0,1.0,0.8732470273971558,1.0,0.8732470273971558,CC1CCC1
C|AddA-15|Sub-8|ChB-1406|AddA-12|ChB-740|Sub-12|AddA-25_RmA-0,0.5,0.5,0.0,1.0,0.7068615555763245,1.0,0.7068615555763245,NPP
