smiles,n_success_mut,n_failures_mut,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential)),1-(SigmLin(redox_potential_-1)),SigmLin(redox_potential_-1),redox_potential_-1,SigmLin(redox_potential),redox_potential,total,obj_computation_time,history_data
c1[nH]oc#1,0,0,0.5,0.0,1.0,1.7044422626495361,1.0,1.7044422626495361,0.5,0.021759033203125,C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-2_AddA-24|ChB-2147
CCOCl,1,0,0.5,0.0,1.0,1.716368556022644,1.0,1.716368556022644,0.5,0.032506704330444336,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|RmA-1_InsA-2|CutA-1
ClOC=CBr,0,0,0.5,0.0,1.0,2.116030216217041,1.0,2.116030216217041,0.5,0.0295560359954834,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|RmA-1_InsA-2|CutA-1|AddA-31_ChB-1479
FC(S)P(F)Br,0,0,0.5,0.0,1.0,1.518143653869629,1.0,1.518143653869629,0.5,0.035962820053100586,C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|InsA-37|Sub-36|Sub-15_AddA-43
PC1CS1,0,0,0.5,0.0,1.0,1.0735224485397339,1.0,1.0735224485397339,0.5,0.03175616264343262,C|AddA-15|AddA-12|Sub-16_AddA-29|ChB-705|MoveFG-2_Sub-12
CCNNBr,0,0,0.5,0.0,1.0,1.7639025449752808,1.0,1.7639025449752808,0.5,0.032768964767456055,C|Sub-1|AddA-8|AddA-10_Sub-17|AddA-16|AddA-31
ClCC1ONP1,0,0,0.5,0.0,1.0,2.0623135566711426,1.0,2.0623135566711426,0.5,0.040006160736083984,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|InsA-1|Sub-33_ChB-743
CC=C1CP1,0,0,0.5,0.0,1.0,0.9541478157043457,1.0,0.9541478157043457,0.5,0.046884775161743164,C|AddA-15|Sub-8|InsA-0|InsA-37|AddA-28|CutA-3_MoveFG-2775|ChB-1406_InsA-1|ChB-74_ChB-776
C=CC1=[SH]C1N,0,0,0.5,0.0,1.0,1.8997842073440552,1.0,1.8997842073440552,0.5,0.03476691246032715,C|AddA-15|Sub-8|InsA-0|InsA-37|ChB-1443_Sub-13|AddA-8|AddA-33_ChB-1409
OP1CO1,0,0,0.5,0.0,1.0,1.528557538986206,1.0,1.528557538986206,0.5,0.027552127838134766,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-18|ChB-740_MoveFG-1446|MoveFG-2775
C1=[SH]CO1,0,0,0.5,0.0,1.0,1.2677552700042725,1.0,1.2677552700042725,0.5,0.03828001022338867,C|AddA-15|Sub-8|ChB-1406|AddA-12|ChB-740|InsA-1_Sub-5|Sub-21_Sub-18
ClC1=CN1,1,0,0.5,0.0,1.0,1.6834138631820679,1.0,1.6834138631820679,0.5,0.030848026275634766,C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-2_AddA-24|ChB-1444|AddA-22_CutA-0
CNCCl,0,0,0.5,0.0,1.0,1.0864531993865967,1.0,1.0864531993865967,0.5,0.033078908920288086,C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-2_AddA-24|ChB-1444|AddA-22_CutA-0|ChB-1
NCCO,0,0,0.5,0.0,1.0,0.9580903649330139,1.0,0.9580903649330139,0.5,0.038789987564086914,C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-2_AddA-24|ChB-1444|ChB-1_ChB-741
BrC12C=C1P2,0,0,0.5,0.0,1.0,1.7793247699737549,1.0,1.7793247699737549,0.5,0.06545376777648926,C|AddA-15|Sub-8|InsA-0|InsA-37|AddA-28|CutA-3_MoveFG-2775|ChB-1406_ChB-776|AddA-26_Sub-39
PCC=CBr,0,0,0.5,0.0,1.0,1.615366816520691,1.0,1.615366816520691,0.5,0.03735184669494629,C|AddA-15|Sub-8|ChB-1406|AddA-20_AddA-11|RmA-3_InsA-37|AddA-15
CPCS,0,0,0.5,0.0,1.0,0.8490425944328308,1.0,0.8490425944328308,0.5,0.04167008399963379,C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|InsA-37|Sub-36|RmA-3
FC(S)CCS,0,0,0.5,0.0,1.0,1.1028257608413696,1.0,1.1028257608413696,0.5,0.035032033920288086,C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|InsA-37|MoveFG-2775_AddA-21
C=PS,0,0,0.5,0.0,1.0,1.1890801191329956,1.0,1.1890801191329956,0.5,0.01885080337524414,C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2_RmA-0|AddA-21
OC1(Br)CS1,0,0,0.5,0.0,1.0,2.170508861541748,1.0,2.170508861541748,0.5,0.03417801856994629,C|AddA-15|AddA-12|Sub-16_AddA-29|ChB-705|AddA-10
CC(N)N,0,0,0.5,0.0,1.0,0.8466358780860901,1.0,0.8466358780860901,0.5,0.037795066833496094,C|Sub-1|AddA-8|AddA-10_Sub-17|AddA-16|MoveFG-39
